appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
489360,CASE: Animatronics,2016-08-03,1,Last Level;Aleson,Aleson,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;Simulation,Horror;Robots;Survival Horror,7,958,185,206,206,100000-200000,6.99
375450,NOBUNAGA'S AMBITION: Sphere of Influence - Ascension / 信長の野望･創造 戦国立志伝,2016-03-23,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Historical;Grand Strategy,29,331,243,0,0,100000-200000,49.99
260410,Get Off My Lawn!,2014-11-11,1,Digital Leisure Inc.,Digital Leisure Inc.,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual;Free to Play;Indie,Free to Play;Casual;Indie,71,1135,397,7,8,200000-500000,0.0
408280,Message Quest,2015-10-22,1,Royal Troupe,Royal Troupe,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Puzzle;2D,18,649,103,0,0,20000-50000,1.99
424830,Bell Ringer,2016-03-18,1,Night Node Software,Night Node Software,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;Platformer,15,97,309,183,205,200000-500000,4.99
386600,Pixel Fodder,2015-07-20,1,Wacha,wacha.ru,windows;mac,0,Single-player;Steam Trading Cards;Partial Controller Support;Includes level editor,Action;Free to Play;Indie;Early Access,Early Access;Action;Free to Play,0,101,24,0,0,20000-50000,0.0
556820,Warbands: Bushido,2017-09-15,1,Red Unit Studios,Red Unit Studios,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Indie;Strategy,Strategy;Indie;Free to Play,28,635,303,0,0,100000-200000,0.0
577670,Demolish & Build 2018,2018-03-08,1,Noble Muffins,PlayWay S.A.,windows,0,Single-player;Co-op;Online Co-op;Steam Achievements;Partial Controller Support,Indie;Simulation,Simulation;Indie;Building,25,138,67,0,0,20000-50000,7.19
504300,Gangs of Space,2017-08-10,1,Little Big MMO,Little Big MMO,windows;mac;linux,0,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,Early Access;Free to Play;Massively Multiplayer,0,295,97,6,6,50000-100000,0.0
616250,Crystalline,2018-08-22,1,PixelFade Inc,PixelFade Inc,windows;mac,0,Single-player;Steam Cloud,Action;Adventure;Indie;RPG;Simulation,Visual Novel;Anime;Adventure,0,771,23,982,982,20000-50000,14.99
299910,Forgotten Myths CCG,2016-03-21,1,Anchora Games;Dream Harvesters,Anchora Games,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,0,36,32,0,0,20000-50000,0.0
386480,Blood Code,2015-12-28,1,WeShare Game Studio,WeShare Game Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie;Simulation;Strategy,Otome;Visual Novel;Anime,29,1065,393,282,343,50000-100000,4.79
731770,Flightless,2017-10-27,1,Bristol Street Studios,Bristol Street Publishing,windows,0,Single-player,Adventure;Free to Play;Indie,Free to Play;Adventure;Indie,0,288,23,6,6,20000-50000,0.0
590690,Sprint Vector,2018-02-08,1,Survios,Survios,windows,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer,Action;Indie;Racing;Sports,Racing;Sports;Skating,49,414,55,19,19,20000-50000,22.99
268260,Let's Sing,2014-02-13,1,Voxler Games,Plug In Digital,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Casual;Indie,Music;Casual;Indie,10,63,65,0,0,20000-50000,12.99
249230,Risen 3 - Titan Lords,2014-08-13,1,Piranha Bytes,Deep Silver,windows,16,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud,RPG,RPG;Open World;Gothic,50,2756,1144,412,589,500000-1000000,10.99
230270,N++ (NPLUSPLUS),2016-08-25,1,Metanet Software Inc.,Metanet Software Inc.,windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Platformer;Difficult;Action,33,1600,83,494,494,100000-200000,10.99
92210,Hitogata Happa,2011-09-27,1,Platine Dispositif,Rockin' Android,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Bullet Hell;Shoot 'Em Up;Indie,14,146,29,5,5,50000-100000,2.79
421050,Deponia Doomsday,2016-03-01,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Point & Click;Comedy,36,1868,270,247,247,200000-500000,14.99
856620,Vカツ / V-Katsu,2018-08-01,0,IVR,IVR,windows,0,Single-player;Partial Controller Support,Free to Play;Early Access,Early Access;Free to Play;Anime,0,244,13,0,0,50000-100000,0.0
366700,Breakout Invaders,2015-04-24,1,DreamsSoftGames,DreamsSoftGames,windows,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,29,29,0,0,20000-50000,2.79
603140,Connected Hearts - Visual novel,2017-08-12,1,Eternal Night Studios,Stw Projects;Ziel Graywords,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Free to Play;Indie;Simulation,Free to Play;Visual Novel;Indie,13,163,22,0,0,20000-50000,0.0
977950,A Dance of Fire and Ice,2019-01-24,1,7th Beat Games,7th Beat Games;indienova,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Includes level editor,Indie,Indie;Rhythm;Music,20,1451,119,180,230,100000-200000,2.09
265330,Gomo,2013-12-06,1,Fishcow Studio,Daedalic Entertainment,windows;mac,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,0,921,306,108,108,100000-200000,3.99
486720,Bastard Bonds,2016-06-15,1,Bigfingers,Bigfingers,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Strategy,Nudity;RPG;Indie,25,314,37,336,336,20000-50000,10.29
307110,We Need To Go Deeper,2017-02-08,1,Deli Interactive LLC,Deli Interactive LLC,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;Simulation;Early Access,Early Access;Co-op;Underwater,0,1402,243,296,463,100000-200000,6.99
12530,Hunting Unlimited™ 2008,2008-01-29,1,SCS Software,ValuSoft;Retroism,windows,0,Single-player,Action;Adventure;Strategy,Action;Strategy;Adventure,0,29,9,0,0,20000-50000,4.99
774461,The Jackbox Party Pack 5,2018-10-17,1,"Jackbox Games, Inc.","Jackbox Games, Inc.",windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Casual,Casual;Local Multiplayer;Comedy,20,242,63,108,156,50000-100000,23.79
372000,Tree of Savior (English Ver.),2016-03-28,1,"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",windows,0,MMO;Steam Trading Cards;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled,Free to Play;Massively Multiplayer;RPG,MMORPG;Massively Multiplayer;Free to Play,0,9323,5897,2119,760,2000000-5000000,0.0
485950,Rise of the Ancients,2016-05-31,1,Talentplace,KishMish Games,windows,0,Single-player;Steam Trading Cards,Indie;Strategy,Indie;Strategy;Tower Defense,0,89,139,211,221,200000-500000,0.72
307570,A Golden Wake,2014-10-09,1,Grundislav Games,Wadjet Eye Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Indie;Point & Click,18,118,50,0,0,20000-50000,6.99
388340,Super Hipster Lumberjack,2015-07-20,1,Day Dreamer Games,Day Dreamer Games,windows,0,Single-player;Partial Controller Support,Indie,Indie;Platformer;Difficult,0,292,88,0,0,20000-50000,0.32
555220,Detention,2017-01-12,1,RedCandleGames,RedCandleGames;AGM PLAYISM,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Horror;Atmospheric;Indie,8,8540,2688,387,409,500000-1000000,8.99
448060,X-17,2016-03-02,1,Panzer Gaming Studios,Panzer Gaming Studios,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Nudity;Action;Indie;Early Access,Early Access;Nudity;Action,0,9,17,250,260,20000-50000,11.39
352960,Star Horizon,2015-05-28,1,Orbital Knight,Orbital Knight,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Indie;Action;Space,29,72,53,43,43,20000-50000,3.99
398830,Goggles - World of Vaporia,2015-10-09,1,Bit2Good Ug,Bit2Good Ug,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;Racing,Action;Adventure;Indie,40,7,5,297,299,20000-50000,5.59
61500,Age of Wonders,2010-10-01,1,Triumph Studios,Paradox Interactive,windows,0,Single-player;Multi-player,RPG;Strategy,Strategy;RPG;Fantasy,0,334,98,161,254,100000-200000,3.99
803030,Seek Or Die,2018-04-27,1,Flashynurav,FLNStudios,windows,0,Single-player;Steam Achievements,Casual;Free to Play;Indie,Free to Play;Horror;Indie,3,83,30,12,12,50000-100000,0.0
252730,YOU DON'T KNOW JACK Vol. 1 XL,2013-11-05,1,"Jackbox Games, Inc.","Jackbox Games, Inc.",windows,0,Single-player;Multi-player,Casual;Indie,Casual;Indie;Comedy,0,95,35,0,0,50000-100000,1.99
400380,Tactical Soccer The New Season,2015-11-20,1,EGCL,KISS ltd,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation;Sports;Strategy,Sports;Strategy;Indie,24,11,15,299,339,20000-50000,6.99
567580,Duke of Alpha Centauri,2016-12-28,1,Just1337 Studio,Just1337 Publisher,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Casual;Indie,Action;Casual;Indie,128,235,64,139,167,50000-100000,4.99
242820,140,2013-10-16,1,Carlsen Games,Carlsen Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Platformer;Indie;Rhythm,8,3398,241,205,274,200000-500000,3.99
751690,The Mammoth: A Cave Painting,2017-11-22,1,inbetweengames,inbetweengames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support,Action;Adventure;Casual;Indie,Adventure;Indie;Action,1,480,52,3,3,20000-50000,0.0
341150,Age of Fear 2: The Chaos Lord GOLD,2015-03-27,1,Leslaw Sliwko,Age of Fear,windows;mac;linux,0,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Indie;RPG;Strategy,RPG;Indie;Strategy,22,199,28,0,0,20000-50000,14.99
399000,Porradaria Upgrade,2015-09-30,0,CleanWaterSoft,CleanWaterSoft,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Platformer,12,38,16,273,288,20000-50000,3.99
338800,Seven Kingdoms 2 HD,2015-02-04,1,Enlight Software Limited,Enlight Software Limited,windows,0,Single-player;Multi-player,Indie;Simulation;Strategy,Strategy;Indie;Simulation,0,156,40,0,0,20000-50000,6.99
521200,Epic Battle Fantasy 3,2016-09-01,1,Matt Roszak,Matt Roszak,windows,0,Single-player;Steam Achievements,Adventure;Free to Play;Indie;RPG,RPG;Free to Play;Adventure,60,824,38,1,1,100000-200000,0.0
777240,Tren0,2018-02-22,0,Bubble,INDIECN,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie;RPG,Adventure;RPG;Indie,16,132,25,0,0,20000-50000,2.09
95900,Air Conflicts: Secret Wars,2011-07-15,1,Games Farm;3Division,Games Farm,windows,0,Single-player;Multi-player;Steam Achievements,Action;Simulation,Simulation;Action;Flight,25,167,111,20,20,50000-100000,4.79
767420,Wauies - The Pet Shop Game,2018-01-10,1,upjers,upjers,windows,0,Single-player;Online Co-op;In-App Purchases,Casual;Free to Play;Simulation,Free to Play;Casual;Simulation,0,91,69,0,0,50000-100000,0.0
55000,Flotilla,2010-04-01,1,Blendo Games,Blendo Games,windows;mac;linux,0,Partial Controller Support,Adventure;Indie;Strategy,Strategy;Indie;Adventure,0,166,25,130,257,100000-200000,6.99
643980,Ironbound,2018-01-04,1,Secret Level SRL,"Making Fun, Inc.",windows;mac,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Indie;RPG;Strategy,Free to Play;RPG;Strategy,26,143,65,6,6,20000-50000,0.0
